date,comb,damp,found,q_dis,v_jam,jam,q_pre,sg,still,merges,T_car_truck
2025-10-07,longer,0.9,True,2849.230769230769,18.83259166795326,200.0,3008.0,13.57099801946095,564,4362,1.20/1.50
2025-10-07,longer,0.9,True,2433.84,18.36057741219075,255.0,2856.0,38.72909698996656,1621,4517,1.20/1.50
2025-10-07,longer,0.95,True,3162.0,18.445621371923973,65.0,3152.0,4.793149466192171,182,4120,1.20/1.50
2025-10-07,longer,0.95,True,2249.181818181818,11.905050860752523,225.0,2972.0,49.23639689071788,1711,4234,1.20/1.50
2025-10-07,longer,0.95,True,3090.5,17.72733732789817,125.0,3068.0,6.074498567335244,223,4034,1.20/1.50
2025-10-07,longer,0.95,True,3091.714285714286,21.952913051308563,145.0,2784.0,6.401215145926006,259,4146,1.20/1.50
2025-10-07,longer,0.95,True,3075.7241379310344,20.856336757419157,150.0,3200.0,6.656,262,4141,1.20/1.50
2025-10-07,longer,0.95,True,2551.1428571428573,16.880857419550242,215.0,3016.0,28.699855822237303,1239,4424,1.20/1.50
2025-10-07,longer,0.95,True,2849.0666666666666,22.397306004120647,230.0,2924.0,17.458017219333392,677,4503,1.20/1.50
2025-10-07,longer,1.0,True,3016.137931034483,22.063025796049647,150.0,2876.0,9.412965798876979,324,4197,1.20/1.50
2025-10-07,longer,1.0,True,2898.8571428571427,19.089069049663276,180.0,2972.0,15.500591249507293,610,4129,1.20/1.50
2025-10-07,longer,1.0,True,2912.7272727272725,19.180304730779,170.0,3068.0,14.975942261427425,499,4175,1.20/1.50
2025-10-07,longer,1.0,True,2727.512195121951,19.6005797388576,210.0,3124.0,23.75705455522709,931,4290,1.20/1.50
2025-10-07,longer,1.0,True,3212.5714285714284,20.213976041222914,110.0,3204.0,3.42489772063121,157,4013,1.20/1.50
2025-10-07,longer,1.0,True,3145.714285714286,20.733643960806212,110.0,3148.0,3.535176758837942,157,4097,1.20/1.50
2025-10-07,longer,1.0,True,3191.076923076923,19.729943522140974,135.0,2852.0,3.6981616075245833,158,4255,1.20/1.50
2025-10-27,settled,0.9,False,,,,,8.534370946822309,204,3956,1.10/1.40
2025-10-27,settled,0.9,False,,,,,6.619593998234776,175,3760,1.10/1.40
2025-10-27,settled,0.9,True,2874.0,25.33685379768219,55.0,2836.0,12.285714285714286,446,4032,1.10/1.40
2025-10-27,settled,0.9,False,,,,,9.921186833565136,277,3905,1.10/1.40
2025-10-27,settled,0.9,False,,,,,5.407861849579641,195,3865,1.10/1.40
2025-10-27,settled,0.9,True,2396.0,38.78255444779922,20.0,2548.0,14.093137254901961,358,3914,1.10/1.40
2025-10-27,settled,0.9,False,,,,,6.996668253212755,192,3885,1.10/1.40
2025-10-27,settled,0.95,True,2423.294117647059,22.088424942782027,90.0,2872.0,31.006900878293603,988,4200,1.10/1.40
2025-10-27,settled,0.95,False,,,,,6.472004816375677,180,3774,1.10/1.40
2025-10-27,settled,0.95,True,2872.5,26.40216114246995,45.0,2836.0,10.227936879018118,374,3986,1.10/1.40
2025-10-27,settled,0.95,True,2704.8,26.248015512728887,30.0,2912.0,13.941590279258154,333,3929,1.10/1.40
2025-10-27,settled,0.95,False,,,,,7.977071889180798,208,3864,1.10/1.40
2025-10-27,settled,0.95,True,2842.285714285714,21.895488827080058,110.0,2764.0,15.88149587178242,662,4275,1.10/1.40
2025-10-27,settled,0.95,False,,,,,6.7926333413059075,201,3906,1.10/1.40
2025-10-27,settled,1.0,True,2985.6,22.4741844760206,30.0,2788.0,12.80928399386906,354,4059,1.10/1.40
2025-10-27,settled,1.0,False,,,,,6.523136246786633,178,3774,1.10/1.40
2025-10-27,settled,1.0,True,2845.5,19.23250122048119,85.0,2836.0,16.81931723563697,573,4128,1.10/1.40
2025-10-27,settled,1.0,True,2552.0,52.89296278565669,20.0,2928.0,11.184857423795478,319,3908,1.10/1.40
2025-10-27,settled,1.0,False,,,,,8.36372477510333,204,3842,1.10/1.40
2025-10-27,settled,1.0,True,2835.4285714285716,24.467772709896956,40.0,2760.0,15.631568889738201,479,4056,1.10/1.40
2025-10-27,settled,1.0,True,2911.090909090909,20.961524466115467,115.0,3008.0,15.939872004762615,705,4406,1.10/1.40
2025-10-27,longer,0.9,False,,,,,7.435572454583861,187,4057,1.20/1.50
2025-10-27,longer,0.9,False,,,,,5.37818727233769,189,3834,1.20/1.50
2025-10-27,longer,0.9,False,,,,,6.348234333537457,189,3907,1.20/1.50
2025-10-27,longer,0.9,False,,,,,5.941005400914,197,3894,1.20/1.50
2025-10-27,longer,0.9,True,2728.0,58.19837832663732,20.0,3072.0,6.471777900349329,198,3947,1.20/1.50
2025-10-27,longer,0.9,True,2727.0,43.43975724080825,25.0,3028.0,11.122607346094155,328,4051,1.20/1.50
2025-10-27,longer,0.9,False,,,,,5.833487170020306,163,4020,1.20/1.50
2025-10-27,longer,0.95,True,2505.391304347826,14.416199811703589,120.0,3164.0,25.913297613248904,751,4406,1.20/1.50
2025-10-27,longer,0.95,True,2842.5882352941176,20.904883667375834,90.0,2940.0,13.028169014084506,427,4216,1.20/1.50
2025-10-27,longer,0.95,True,2860.3636363636365,24.431106969554012,60.0,2888.0,13.449092344119967,349,4161,1.20/1.50
2025-10-27,longer,0.95,False,,,,,6.695807669382078,228,4001,1.20/1.50
2025-10-27,longer,0.95,True,3037.5,26.602091486713757,45.0,2748.0,7.150153217568948,243,4094,1.20/1.50
2025-10-27,longer,0.95,True,2509.5789473684213,15.796512839283606,195.0,2972.0,34.04561331415656,1193,4560,1.20/1.50
2025-10-27,longer,0.95,True,2594.1,16.757638089358288,205.0,3004.0,27.84313725490196,1005,4649,1.20/1.50
2025-10-27,longer,1.0,True,2826.0,34.91087029571961,35.0,2560.0,13.426345352418917,452,4270,1.20/1.50
2025-10-27,longer,1.0,False,,,,,7.580309683383407,204,3837,1.20/1.50
2025-10-27,longer,1.0,True,2810.6666666666665,17.819942965572924,50.0,2936.0,10.982286634460547,324,4112,1.20/1.50
2025-10-27,longer,1.0,True,2706.0,32.786485114145464,25.0,2644.0,10.003961965134707,239,3948,1.20/1.50
2025-10-27,longer,1.0,False,,,,,6.374269005847953,193,4056,1.20/1.50
2025-10-27,longer,1.0,False,,,,,10.23063276167948,252,3987,1.20/1.50
2025-10-27,longer,1.0,False,,,,,6.069711538461538,178,3949,1.20/1.50
